Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
350	0.374286	336	0.044643	27	0.370370	287	0.250871	11.993559	183	0.316940	1.569431	167	0.437126	43.215229	287	0.250871	0.228000	0.240018	
343	0.291545	353	0.087819	40	0.750000	264	0.303030	11.993559	185	0.351351	2.739549	158	0.221519	43.215229	264	0.303030	0.241000	0.240024	
311	0.257235	334	0.059880	40	0.875000	315	0.244444	11.993559	174	0.327586	2.739549	137	0.167883	43.215229	315	0.244444	0.212000	0.239844	
331	0.299094	355	0.047887	45	0.555556	269	0.197026	11.993559	173	0.335260	2.387292	158	0.259494	43.215229	269	0.197026	0.194000	0.239550	
303	0.257426	344	0.043605	43	0.651163	310	0.287097	11.993559	161	0.316770	2.387292	142	0.190141	31.577797	310	0.287097	0.210000	0.239362	
352	0.181818	351	0.054131	37	0.783784	260	0.311538	11.993559	168	0.238095	1.812366	184	0.130435	31.577797	260	0.311538	0.193000	0.239068	
321	0.224299	356	0.073034	42	0.666667	281	0.384342	11.993559	165	0.224242	1.714141	156	0.224359	31.577797	281	0.384342	0.234000	0.239036	
326	0.233129	388	0.069588	37	0.621622	249	0.305221	11.993559	158	0.240506	1.714141	168	0.226190	31.577797	249	0.305221	0.202000	0.238805	
372	0.263441	355	0.070423	34	0.647059	239	0.384937	11.993559	202	0.287129	1.714141	170	0.235294	31.577797	239	0.384937	0.237000	0.238794	
334	0.314371	367	0.038147	31	0.322581	268	0.402985	11.993559	177	0.316384	1.714141	157	0.312102	31.577797	268	0.402985	0.237000	0.238782	
357	0.294118	326	0.052147	32	0.625000	285	0.252632	11.993559	167	0.245509	1.714141	190	0.336842	56.702289	285	0.252632	0.214000	0.238630	
350	0.288571	349	0.071633	43	0.558140	258	0.182171	11.993559	176	0.323864	1.714141	174	0.252874	56.702289	258	0.182171	0.197000	0.238377	
310	0.229032	378	0.074074	22	0.681818	290	0.200000	11.993559	137	0.270073	1.714141	173	0.196532	39.489755	290	0.200000	0.172000	0.237974	
375	0.325333	323	0.058824	33	0.454545	269	0.297398	11.993559	198	0.272727	1.126963	177	0.384181	39.489755	269	0.297398	0.236000	0.237962	
373	0.319035	327	0.076453	26	0.461538	274	0.310219	11.993559	199	0.241206	1.126963	174	0.408046	39.489755	274	0.310219	0.241000	0.237981	
311	0.315113	354	0.064972	38	0.578947	297	0.279461	11.993559	162	0.370370	2.146545	149	0.255034	39.489755	297	0.279461	0.226000	0.237909	
